pixels,pixel_max_d2fdlnλ2,chunk_id,fit_min_λ,fit_max_λ,fit_λc,fit_depth,fit_σ²,fit_a,fit_b,fit_covar,fit_χ²_per_dof,fit_converged,λ_near_center,f_near_center,dfdlnλ_near_center,df2dlnλ2_near_center,λ_min_flux,dfdlnλ_min_flux
3545:3570,3556,1,5194.238377841774,5194.481810139398,5194.341826961702,0.0013229915633994238,0.01539726390965096,1.0385117596115299,0.032161594510090215,[0.19987746450399133 -0.769317289263959 162.02126407472542 204.00893960718489 -0.06928666820991183; -0.7693172892653122 175.45429187525482 -4798.161393821604 -5555.817831525494 11.74993141974392; 162.0212640747581 -4798.161393820634 232416.53784730865 280627.0398893045 -334.2021232970669; 204.00893960722217 -5555.817831524269 280627.0398893017 341806.27701660607 -386.63212599489503; -0.06928666821000162 11.749931419743817 -334.2021232971288 -386.63212599497336 0.7966570948792295],2.634601100976613e-7,true,5194.345488052729,1.0373330943543881,1479.9662426394602,1163.7094865275017,5193.073721980721,1479.6812890393196
3735:3777,3756,1,5196.088463303711,5196.4974295637185,5196.293178814651,0.009979521085119677,0.034450500194085076,1.0523558216525803,-0.008982435196361091,[0.10874547747824874 -0.008080698279587642 10.082154540090725 13.366540942137638 -0.0015556053872069803; -0.00808069827958639 1.2205424387736943 0.32340051069165054 0.4233169196573052 0.24647013138041718; 10.082154540090727 0.3234005106915345 936.2587627550375 1238.7557009972218 0.0724241284271788; 13.366540942137636 0.42331691965715207 1238.7557009972213 1656.2658921155044 0.09413267387512932; -0.0015556053872067279 0.2464701313804172 0.07242412842720224 0.09413267387516026 0.05124128407758747],1.417909675304345e-5,true,5196.292946433715,1.0419829112836956,-412.9189707934907,4436.049488121723,5196.386029022604,-412.8395073612458
3799:3825,3812,1,5196.711649985627,5196.964819575155,5196.833320617437,0.0015461371505422665,0.016108397659750296,1.0524680469111665,0.020577852319304108,[0.32382153828613625 0.11685447666907933 194.87514076299234 245.78607553988232 4.065794146475288e-6; 0.1168544766689561 62.22266534875317 -750.4079636181765 -897.7322849250762 4.390782429517472; 194.87514076299405 -750.4079636181013 128145.17500846392 160802.31032608167 -57.97817924474772; 245.7860755398841 -897.7322849249813 160802.31032608147 203193.9880141509 -69.34145250547411; 4.065794137706261e-6 4.390782429517468 -57.978179244752994 -69.34145250548077 0.31602666157365517],1.7629999083071538e-8,true,5196.838234780391,1.0510304129897143,972.6723018863088,1326.6271057169952,5196.105042839947,972.4851225132443
3861:3890,3873,1,5197.315362083733,5197.597743548976,5197.431013262603,0.0010852315620664662,0.01874539198592556,1.0628905318372102,0.011549623912668847,[0.15959217745775725 -3.9631668461206875 178.5254793961481 219.7262200670694 -0.19087028482961027; -3.9631668461206266 263.05089196025205 -6202.051131708123 -7171.849366361685 11.95099651113371; 178.5254793961476 -6202.051131708178 218773.4265978419 263984.0859091351 -291.1259363481752; 219.72622006706823 -7171.849366361726 263984.08590913436 322321.79068401194 -336.1831223418684; -0.19087028482960802 11.950996511133738 -291.1259363481734 -336.1831223418675 0.5497242817317507],5.564882854022499e-7,true,5197.432209586592,1.0617992320935161,539.6288944004077,820.4459920639786,5196.774483301596,539.5250617730482
3904:3930,3918,1,5197.734065635645,5197.987235225173,5197.860122204272,0.00048789951098279647,0.018232054548822322,1.0692766636098205,0.017056600071196606,[0.8342100462195949 15.382095827580315 1051.2539744548521 1288.312554816642 0.30689103129702394; 15.382095827586655 880.4488996168865 -1288.2072597196047 -1536.6920561809513 17.635023703582018; 1051.2539744546377 -1288.2072597313672 2.0411687665038542e6 2.498157879091596e6 -28.100923601205594; 1288.3125548163744 -1536.6920561955776 2.498157879091595e6 3.0729724758159323e6 -33.46455139517094; 0.3068910312971511 17.63502370358203 -28.100923600970084 -33.46455139487803 0.35896656470360383],6.183482997524235e-9,true,5197.870387722314,1.0689693184982343,820.7105582774652,386.3504545266034,5195.746123214115,820.5526323873112
4006:4052,4027,1,5198.727269409948,5199.175184837575,5198.930451563196,0.0027417973905915945,0.03504200963863365,1.0779895201684906,0.0030737555672245413,[0.054609365292341436 -0.43962763923524634 18.55195837679211 25.114940061204326 -0.02621695507669617; -0.43962763923524945 13.713587696449212 -161.8917085806832 -204.38805236394938 0.7353492987816413; 18.55195837679212 -161.891708580682 6324.800316536554 8515.842995084891 -9.563714445437071; 25.114940061204315 -204.3880523639482 8515.842995084886 11668.980653863726 -12.06635205977371; -0.026216955076696337 0.7353492987816415 -9.563714445437135 -12.066352059773777 0.040759117747115936],1.3960547984086019e-5,true,5198.931752539951,1.0750773980182267,150.28254519608276,1216.6690848228325,5198.808232885289,150.2536384249165
4122:4167,4144,1,5199.85679527092,5200.294973406642,5200.0721581716,0.00915060574421251,0.03990529356085563,1.084372070574041,0.007402388401934948,[0.10850564229299593 -0.03613932770183048 10.696480365855383 14.119295465719127 -0.006764293720664077; -0.03613932770183242 1.5809958314267516 -4.833186102298796 -6.0202545212741505 0.254151691278458; 10.696480365855388 -4.833186102298612 1056.0933450348061 1391.0563868731126 -0.8714542088560034; 14.119295465719128 -6.020254521273955 1391.0563868731122 1851.1153529806122 -1.0850340182047031; -0.006764293720664394 0.25415169127845794 -0.8714542088560333 -1.0850340182047349 0.04202537659026656],1.870296746655642e-5,true,5200.071015692829,1.074527190220327,341.4855819019844,3680.0927818711775,5199.978223037278,341.419911908685
4284:4335,4314,1,5201.434236559519,5201.93083844667,5201.724018907846,0.0028791760494152065,0.07944381606556934,1.099797630166386,0.007075762581617698,[0.7774907162464861 10.36959551406835 218.45060198644805 250.6907307873562 0.3217260380778062; 10.369595514070694 197.0468043336463 2776.074671146212 3088.488150218214 5.991836325763581; 218.4506019864425 2776.074671145486 61704.409082066195 71009.63156204329 86.43076458520915; 250.6907307873459 3088.488150217323 71009.63156204218 82179.41314177253 96.09449572832354; 0.32172603807787425 5.991836325763522 86.43076458523039 96.09449572834968 0.18340727685699065],2.0305764088044805e-5,true,5201.726355316667,1.0966554443769287,352.46106792001916,644.9131873810678,5201.179830490044,352.3933058808449
4489:4538,4514,1,5203.4303814000305,5203.907508703372,5203.6723695159535,0.020903240372804107,0.04670843929348882,1.1032498858021513,0.006751098344997323,[0.09934511572812911 0.019673263793202667 4.144712380675683 5.550565024079839 0.00688270114749584; 0.019673263793203846 0.30939432670984424 0.7307225624259498 0.9153542020863835 0.09748388554819062; 4.144712380675683 0.7307225624258962 173.05126982605626 231.29792382632203 0.2590143302730329; 5.5505650240798365 0.9153542020863341 231.2979238263219 312.4237403650877 0.3246275948110118; 0.006882701147496216 0.0974838855481906 0.25901433027305 0.32462759481102743 0.03162881698938462],8.314465000016439e-5,true,5203.673813697654,1.0803487774536937,355.29108699622793,7438.311452233954,5203.626048678768,355.2228097116883
4717:4766,4742,1,5205.650483954354,5206.127611257696,5205.889813861852,0.034930232323317906,0.046879900213898394,1.1224661343429343,0.006154924365268853,[0.1018989097457799 0.003077024333180114 2.467406781286624 3.3515602976737324 0.0017871664972792882; 0.003077024333179934 0.10695441018534847 0.05702630916497891 0.07145594375873196 0.05665512289343135; 2.467406781286623 0.05702630916498327 59.78645424476072 81.04510568617467 0.03404209261264074; 3.351560297673737 0.07145594375873798 81.0451056861748 111.01801529341834 0.04274240099962613; 0.0017871664972791909 0.056655122893431345 0.03404209261263839 0.042742400999622863 0.030918833813244857],0.00017844253672387632,true,5205.893916251978,1.083543607572596,442.3357050952364,12603.429930838349,5205.85881979748,442.25073655702556
